S/N,REGION,DISTRICT,CONSTITUENCY,CANDIDATE,PARTY,COMMENT
27,EAST BUGANDA,KAYUNGA,BBAALE,TEBANDEKE CHARLES,NUP,NEW
29,EAST BUGANDA,KAYUNGA,NTENJERU SOUTH,NSANJA PATRICK KAYONGO,IND/NRM,NEW
30,EAST BUGANDA,MUKONO,WOMAN MP,NABUKEERA HANIFA,NUP,NEW
31,EAST BUGANDA,MUKONO,MUKONO NORTH,KIWANUKA ABDULLAH KAYONDO,NUP,NEW
32,EAST BUGANDA,MUKONO,NAKIFUMA,SSIMBWA FRED,NUP,NEW
34,EAST BUGANDA,MUKONO,MUKONO SOUTH,KAYONDO FRED,DP,NEW
35,NORTH BUGANDA,KYANKWANZI,WOMAN MP,SSENDAWULA CHRISTINE BUKENYA,NRM,NEW
37,NORTH BUGANDA,KYANKWANZI,BUTEMBA,BINGI PATRICK NYANZI,NRM,NEW
38,NORTH BUGANDA,LUWERO,WOMAN MP,NABUKENYA BRENDA,NUP,NEW
39,NORTH BUGANDA,LUWERO,KATIKAMU SOUTH,KIRUMIRA HASSAN,NUP,NEW
40,NORTH BUGANDA,LUWERO,KATIKAMU NORTH,SEKABIRA DENIS,NUP,NEW
41,NORTH BUGANDA,LUWERO,BAMUNANIKA,SSEKITOLEKO ROBERT,NUP,NEW
43,NORTH BUGANDA,NAKASEKE,NAKASEKE CENTRAL,ALLAN MAYANJA,NUP,NEW
46,NORTH BUGANDA,KIBOGA,WOMAN MP,KAAYA CHRISTINE NAKIMWERO,NUP,NEW
47,NORTH BUGANDA,KIBOGA,KIBOGA WEST,HON. MUTUMBA ABDUL,NRM,NEW
49,NORTH BUGANDA,NAKASONGOLA,WOMAN MP,ZAWEDDE VICTORIOUS,IND/NRM,NEW
50,NORTH BUGANDA,NAKASONGOLA,BUDYEBO,SSEKYANZI BERNARD,NRM,NEW
55,SOUTH BUGANDA,LWENGO,BUKOTO SOUTH,KAGABO TWAHA,NUP,NEW
57,SOUTH BUGANDA,LYANTONDE,KABULA,ASIIMWE K. ENOS,NRM,NEW
58,SOUTH BUGANDA,MASAKA,WOMAN MP,NAKIYEMBE HARRIET SSEBUWUFU,NUP,NEW
59,SOUTH BUGANDA,MASAKA,BUKOTO EAST,KANYIKE RONALD EVANS,NUP,NEW
60,SOUTH BUGANDA,MASAKA,BUKOTO CENTRAL,SSEBAMALA RICHARD,DP,NEW
61,SOUTH BUGANDA,MASAKA CITY,CITY WOMAN MP,NAKABUYE JULIET KAKANDE,NUP,NEW
63,SOUTH BUGANDA,MASAKA CITY,KIMANYA-KABONERA,HON. ABED BWANIKA,NUP,NEW
67,SOUTH BUGANDA,KYOTERA,WOMAN MP,NANTONGO FORTUNATE,DP,NEW
68,SOUTH BUGANDA,KYOTERA,KYOTERA,LUKWAGO JOHN PAUL MPALANYI,DP,NEW
71,SOUTH BUGANDA,SEMBABULE,MAWOGOLA NORTH,KUTEESA SHARTSI MUSHERURE,IND/NRM,NEW
73,SOUTH BUGANDA,SEMBABULE,MAWOGOLA SOUTH,NAMUGGA GORRETH,NUP,NEW
